Tiếng Anh,Tiếng Việt
Astral Detector,Máy Dò Địa Chất
Ancient Lunarune Stone,Tượng Đá Nguyệt Tự
Ancient Guard Post,Trụ Gác Cổ Đại
Ornate Pedestal,Bệ Văn Hoa
Scalemail,Giáp Đánh Vảy
Dreadstone Armor,Giáp Kinh Hoàng
Grass Suit,Giáp Cỏ
Marble Suit,Giáp cẩm thạch
Thulecite Suit,Giáp Thulecite
Bone Armor,Giáp xương
Belt of Hunger,Thắt Lưng Tuyệt Thực
Snurtle Shell Armor,Giáp Vỏ Sên
W.A.R.B.I.S. Armor,Giáp W.A.R.B.I.S.
Log Suit,Giáp gỗ
Bramble Husk,Giáp Mâm Xôi
Coat of Carrots,Giáp Cà rốt
Brightshade Armor,Giáp Ánh Sáng
Brambleshade Armor,Giáp Gai Mâm Xôi
Night Armor,Giáp Bóng Tối
Void Robe,Áo Choàng Hư Không
Gilded Knight's Chest Plate,Tấm giáp ngực của Đồng Hồ Mã Mạ Vàng
Directional Sign,Bảng Chỉ Hướng
Ashes,Tro
Ashes of %s,Tro của %s
Asparagus,Măng Tây
Asparagus Soup,Súp Măng Tây
Roasted Asparagus,Măng Tây Nướng
Giant Asparagus,Măng Tây Khổng Lồ
Giant Rotting Asparagus,Măng Tây Khổng Lồ Thối Rữa
Tubular Seeds,Hạt Măng Tây
Ancient Gateway,Cổng Cổ Xưa
Ancient Key,Chìa khóa cổ
Ancient Beacon,Đèn Hiệu Cổ Đại
Ancient Obelisk,Tháp Cổ Đại
Ancient Mural,Tranh Tường Cổ Đại
Axe,Rìu
Baby Beefalo,Bò Lai Sơ Sinh
Backpack,Ba Lô
Bacon and Eggs,Thịt Xông Khói và Trứng
JIMBO,JIMBO
Balloon,Bong bóng
Balloon Hat,Mũ Bóng Bay
Party Balloon,Bóng Bay Tiệc Tùng
Speedy Balloon,Bóng Bay Mau Lẹ
Pile o' Balloons,Đống Bong Bóng
Inflatable Vest,Vest Bơm Hơi
Banana Bush,Bụi chuối
Banana Shake,Chuối Lắc
Banana Pop,Que Chuối
Honey Poultice,Thuốc mật ong
Flutter Strip,Dải Gạc Cánh Bướm
Barnacles,Hà Biển
Barnacle Pita,Bánh Cuộn Hà Biển
Stuffed Fish Heads,Đầu Cá Nhồi
Barnacle Nigiri,Nigiri Hà Biển
Cooked Barnacles,Hà Biển Nướng
Barnacle Linguine,Linguine Hà Biển
Basalt,Bazan
Basalt Pillar,Cột đá Bazan
Batilisk,Dơi
Bat Bat,Chày cánh dơi
Bat Cave,Hang Dơi
Bath Bomb,Bom Ngâm
Bath Bomb Blueprint,Bản Thảo Bom Ngâm
Naked Nostrils,Mũi Chuột Trụi
Milkmade Hat,Nón Truyền Sữa
Charred Nostrils,Mũi Chuột Thui
Battle Call Canister,Hộp Đựng Chiến Ca
Weaponized Warble,Chiến Ca Vũ Trang
Fireproof Falsetto,Chiến Ca Kháng Hỏa
Heartrending Ballad,Chiến Ca Thổn Thức
Startling Soliloquy,Chiến Ca Độc Thoại Kinh Hãi
Warrior's Reprise,Chiến Ca Tái Chiến
Rude Interlude,Chiến Ca Gián Đoạn Thô Lỗ
Enlightened Lullaby,Chiến Ca Ru Ngủ Khai Sáng
Bel Canto of Courage,Chiến Ca Dũng Khí
Clear Minded Cadenza,Chiến Ca Tinh Thần Minh Mẫn
Dark Lament,Chiến Ca Hắc Ai
Batilisk Wing,Cánh dơi
Cooked Batilisk Wing,Cánh dơi nướng
Beard Hair,Râu cạo
Bearger,Gấu Lửng
Polar Bearger Bin,Thùng Gấu Bắc Cực
Hibearnation Vest,Vest Gấu Ngủ Đông
Thick Fur,Lông Dày
Lucky Beast Costume Pattern,Bản Vẽ Bộ Kỳ Lân
Fur Roll,Chiếu lông
Straw Roll,Chiếu rơm
Bee,Ong
Bee Box,Thùng Ong
Beefalo,Bò Lai
Steamed Twigs,Cành Cây Hầm
Beefalo Hat,Mũ Sừng Bò
Beefalo Treats,Bánh Thưởng Cho Bò
Beefalo Wool,Lông bò
{buddy}'s Beefalo,Bò của {buddy}
Domesticated Beefalo,Bò thuần hóa
Beefalo Grooming Station,Trạm Chải Lông Bò
Grooming Station Kit,Bộ Trạm Chải Lông
Beefalo Bell,Chuông Bò Lai
Grumble Bee,Ong Chiến Binh
Beekeeper Hat,Mũ Chăn Ong
Beehive,Tổ ong
Bee Mine,Bẫy ong
Maxwell's Mosquito Trap,Bẫy muỗi của Maxwell
Bee Queen,Ong Chúa
Honey Patch,Thảm Bánh Mật
Somewhat Gigantic Beehive,Một số tổ ong khổng lồ
Gigantic Beehive,Tổ Ong Khổng Lồ
Beeswax,Sáp ong
Embalming Spritz,Xịt Kìm Hãm
Infernal Swineclops,Độc Nhãn Âm Ty
Old Bell,Chuông cổ
Bernie,Bernie
BERNIE!,BERNIE!
Berries,Dâu Rừng
Roasted Berries,Dâu Rừng Rang
Juicy Berries,Dâu mọng
Roasted Juicy Berries,Dâu Mọng Rang
Berry Bush,Bụi Dâu
Juicy Berry Bush,Bụi Dâu Mọng
Merry Berrysauce,Sốt Dâu Rừng
Bibingka,Bánh Gạo Nướng
Biiigfoot,Chân To
Guardian Shadow Tentacle,Xúc tu bóng tối bảo vệ
Birchnutter,Quái Dẻ Bulô
Birdcage,Lồng chim
Bird Trap,Bẫy chim
Egg,Trứng
Cooked Egg,Trứng rán
Moonblind Crow,Quạ Mù Mặt Trăng
Misshapen Bird,Chim Méo Mó
Clockwork Bishop,Quân Tượng
Damaged Bishop,Quân Tượng hỏng
Black Flag,Cờ Hải Tặc
Fire Dart,Tiêu lửa
Darts,Tiêu
Molten Darts,Tiêu Nóng Chảy
Blow Dart,Tiêu thổi
Sleep Dart,Tiêu thuốc mê
Electric Dart,Tiêu điện
Chilled Amulet,Bùa Lạnh
Blue Gem,Ngọc Lam
Blue Moonlens,Thấu kính mặt trăng xanh
Blueprint,Bản thiết kế
Imitation Ruins Turf Blueprints,Bản thiết kế nền Gạch Giả Cổ
Ruins Turf Blueprints,Bản thiết kế Gạch Cổ
{item} Blueprint,Bản Thảo {item}
Blue Cap,Nấm Lam
Cooked Blue Cap,Nấm Lam chín
Blue Mushroom,Cây nấm Lam
Blue Funcap,Mũ Nấm Ngộ Nghĩnh Xanh
Boards,Ván Ép
Bunch o' Boards,Bó Ván Gỗ
Pit Pig,Lợn Hố
Grand Forge Boarrior,Đại Chiến Binh Heo
Boat,Thuyền ván
Boat Fragment,Mảnh Thuyền Vỡ
Boat Patch,Ván Sửa Thuyền
Kelp Patch,Miếng Tảo
Race Checkpoint,Điểm Checkpoint
Race Checkpoint Kit,Bộ điểm checkpoint
Charlie's Racer,Tay đua của Charlie
Golden Buoy,Phao Vàng
Thorny Buoy,Phao gai
Thorny Buoy Kit,Bộ phao gai nhọn
Golden Buoy Kit,Bộ phao vàng
Broodling Spectator,Khán giả ấp ủ
Start Tower,Tháp xuất phát
Start Tower Kit,Bộ tháp xuất phát
Archaic Boat,Thuyền cổ
Cargo Hold,Thuyền chở hàng
Archaic Boat Kit,Bộ thuyền cổ xưa
Crab King Bumper,Giảm chấn cua hoàng đế
Crab King Bumper Kit,Bộ giảm chấn cua hoàng đế
Kelp Bumper,Tảo Giảm Chấn
Kelp Bumper Kit,Bộ Tảo Giảm Chấn
Shell Bumper,Mai Giảm Chấn
Shell Bumper Kit,Bộ Mai Giảm Chấn
Fanged Bumper,Giảm chấn răng nanh
Fanged Bumper Kit,Bộ giảm chấn răng nanh
Cannon,Đại Bác
Cannon Kit,Bộ Đại Bác
Grass Raft,Bè Rơm
Grass Raft Kit,Bộ Bè Rơm
Boat Kit,Thuyền Ván
Leak,Rò rỉ
Nautopilot,Tự Lái Hàng Hải
Nautopilot Beacon,Dẫn Đường Tự Lái
Nautopilot Kit,Bộ Tự Lái Hàng Hải
Marotter Raft,bè Marotter
Pirate Sloop,Bè Hải Tặc
Rudder,Cần Điều Hướng
Rudder Kit,Bộ Cần Điều Hướng
Beefalo Pillow Armor,Giáp Gối Bò Lai
Kelpy Pillow Armor,Áo Giáp Gối Tảo
Flowery Pillow Armor,Giáp Gối Hoa
Steel Wool Pillow Armor,Áo Giáp Gối Len Thép
Brightshade Bomb,Bom Ánh Sáng
Bone Shards,Mảnh xương
Bone Bouillon,Canh Xương Hầm
Meaty Stew,Thịt Hầm
Bookcase,Tủ sách
Apicultural Notes,Cẩm Nang Chăn Ong
Birds of the World,Những Con Chim Của Thế Giới
The End is Nigh!,Kết Thúc Tới Gần!
Tome of Beckoning,Sách Kêu Gọi
Pyrokinetics Explained,Ngự Hoả Nguyên Tố
The Angler's Survival Guide,Ngư Ông Đắc Lợi
Petrifying Tome,Sách Hóa Thạch
Applied Horticulture,Ứng dụng làm Vườn
"Horticulture, Abridged","Làm Vườn, Rút Gọn"
"Horticulture, Expanded","Làm Vườn, Mở Rộng"
Lux Aeterna,Hào Quang Vĩnh Cửu
Lux Aeterna Redux,Triệu Quang Thần Điển
Lunar Grimoire,Nguyệt Ma Đạo Thư
Practical Rain Rituals,Đảo Vũ
The Everything Encyclopedia,Bách Khoa Toàn Thư
Applied Silviculture,Ứng Dụng Lâm Nghiệp
Sleepytime Stories,Câu Chuyện Ru Ngủ
Tempering Temperatures,Điều Hoà Thân Nhiệt
On Tentacles,Phía Trên Xúc Tua
Overcoming Arachnophobia,Giăng Tơ
Boomerang,Boomerang
Bootleg Getaway,Ủng Bỏ Trốn
Thorns,Gai
Brush,Chải
Bug Net,Vợt côn trùng
Bull Kelp,Tảo Biển
Bull Kelp Stalk,Thân Tảo Biển
Bundled Supplies,Bọc Gói
Bundling Wrap,Giấy gói
Bunnyman,Thỏ Người
Bunny Stew,Thỏ Hầm
Spiky Bush,Bụi Gai
Bush Hat,Mũ Bụi Cây
Butter,Bơ
Butterfly,Bướm
Butter Muffin,Bánh bơ
Butterfly Wings,Cánh bướm
Moon Moth Sketch,Phác thảo mặt trăng
Buzzard,Diều Hâu
Cabbage Rolls,Bắp Cải Cuộn
Cactus,Xương rồng
Cactus Flower,Hoa xương rồng
Cactus Flesh,Xác Xương Rồng
Cooked Cactus Flesh,Xác Xương Rồng Chín
California Roll,Cơm Cuộn California
Campfire,Lửa trại
Canary,Chim hoàng yến
Canary (Volatile),Chim hoàng yến (hấp hối)
Candy Bag,Túi kẹo
Walking Cane,Gậy đi bộ
Cannonball,Đạn Pháo
Confetti Cannon,Pháo hoa giấy
Confetti Cannon Kit,Bộ pháo hoa giấy
Glitter Cannon,Pháo lấp lánh
Glitter Cannon Kit,Bộ công cụ đại bác long lanh
Streamer Cannon,Phong cách đại phát đại bác
Streamer Cannon Kit,Bộ pháo Streamer
Light Catcher,Người bắt ánh sáng
Light Catcher Kit,Bộ bắt ánh sáng
Mini Ferris Wheel,Bánh xe Ferris nhỏ
Mini Ferris Wheel Kit,Bộ bánh xe Ferris nhỏ
Mini Swing Carousel,Băng chuyền xoay nhỏ
Mini Swing Carousel Kit,Bộ băng chuyền xoay nhỏ
Mini Pendulum Ride,Đi con lắc mini
Mini Pendulum Ride Kit,Bộ dụng cụ đi con lắc mini
Mini Tower Drop,Tháp nhỏ rơi
Mini Tower Drop Kit,Bộ dụng cụ thả tháp nhỏ
Common Cawnival Statuette,Tượng Hạ chí phổ biến
Green Mystery Box,Hộp bí ẩn xanh
Gold Mystery Box,Hộp bí ẩn vàng
Rare Cawnival Statuette,Tượng Hạ chí hiếm
Uncommon Cawnival Statuette,Tượng Hạ chí không phổ biến
Midsummer Night Light,Ánh sáng đêm giữa mùa hè
Midsummer Night Light Kit,Bộ dụng cụ ánh sáng đêm giữa mùa hè
Miniature Tree,Cây thu nhỏ
Miniature Tree Kit,Bộ Cây thu nhỏ
Corny Slush,Nước đá bào vị bắp
Grub,Grub
Hubbub for Grub Kit,Bộ Tiệc Tùng Thức Ăn
Hungry Crow,Đám đông đói
Trapdoor,Cửa sập
Hubbub for Grub,Náo Nhiệt Vì Thức Ăn
Scrambling Egg,Tranh giành trứng
Egg Scramble Kit,Bộ Scramble Egg
Egg Scramble,Trứng Scramble
Egg Basket,Giỏ trứng
Eggs in a Basket Kit,Trứng trong bộ giỏ
Eggs in a Basket,Trứng trong giỏ
Birdhouse Ball Drop Kit,Bộ đồ thả bóng chim
Birdhouse Ball Drop,Birdhouse Ball Drop
Button,Cái nút
Nest Defender,Hậu vệ tổ
Nest Defender Kit,Bộ Hậu vệ Nest
Target,Mục tiêu
Cuckoo Spinwheel Kit,Cuckoo spinwheel Kit
Cuckoo Spinwheel,Cuckoo spinwheel
Shiny Red Ball,Bóng đỏ sáng bóng
Crow Kid,Crow Kid
Cawnival Token,Xu Cawnival
3 Cawnival Tokens,3 Xu Cawnival
Corvus Goodfeather,Corvus Goodfeather
Cawnival Tree,Cây Cawnival
Cawnival Sapling,Hội mầm cây
Prize Booth,Gian hàng giải thưởng
Prize Booth Kit,Bộ Gian hàng giải thưởng
Prize Tickets,Vé giải thưởng
Seed Clusters,Cụm hạt
Chirpy Scarf,Khăn quàng cổ
Chirpy Cloak,Áo choàng chirpy
Chirpy Capelet,Chirpy Capelet
Moon Glass Saw Blade,Lưỡi Cưa Thủy Tinh Trăng
Sawhorse,Bàn Cưa
Carrat,Cà Ruột
Carrat Shrine,Miếu Thờ Chuột
Charlie's Carrat,Chuột Bóng Đêm
Carrot,Cà rốt
Roasted Carrot,Cà rốt nướng
Giant Carrots,Cà Rốt Khổng Lồ
Giant Rotting Carrots,Cà Rốt Khổng Lồ Thối Rữa
Oblong Seeds,Hạt Thuôn
Cartographer's Desk,Bàn vẽ bản đồ
Catcoon,Mèo Trúc
Hollow Stump,Gốc Rỗng
Cat Cap,Mũ Da Mèo
Wind-up Mouse Toy,Đồ chơi chuột gió
Boulder,Tảng đá
Banana,Chuối
Cooked Banana,Chuối nướng
Cave Banana Tree,Cây chuối hang
Plugged Sinkhole,Hố được chặn
Deeper,Sâu hơn
Plugged Hole,Hố được chặn
Stairs,Cầu thang
Fern,Dương xỉ
Withered Fern,Dương Xỉ Héo
Geothermite,Mối Địa Nhiệt
Fumarole,Miệng Phun Địa Nhiệt
Ceviche,Gỏi Hải Sản
Charcoal,Than
Charlie,Charlie
Dark Vestige,Di tích đen tối
Fragile Rose,Hoa hồng dễ vỡ
Beckoning Hand,Vẫy tay
Mockingbird,Chim Nhại
Playbill,Playbill
Shadow Queen,Nữ hoàng bóng tối
Stage,Sân khấu
Broken Clockworks,Máy Đồng Hồ Hỏng
Anchor Figure,Tượng Mỏ Neo
Anchor Figure Sketch,Bản Phác Tượng Mỏ Neo
Antlion Figure,Tượng Kiến Sư Tử
Bearger Figure,Tượng Bearger
Armored Bearger Figure,Tượng Gấu Lửng Bọc Giáp
Armored Bearger Figure Sketch,Bản phác thảo tượng Gấu Lửng Bọc Giáp
Beefalo Figure,Tượng Bò Lai
Beefalo Figure Sketch,Bản Vẽ Tượng Bò Lai
Bee Queen Figure,Tượng Ong Chúa
Bishop Figure,Quân Cờ Tượng
Moon Moth Figure,Tượng Bướm Đêm
Moon Moth Figure Sketch,Bản Thảo Tượng Bướm Đêm
Carrat Figure,Tượng Cà Ruột
Carrat Figure Sketch,Bản Thảo Tượng Cà Ruột
Catcoon Figure,Tượng Mèo
Catcoon Figure Sketch,Bản Thảo Tượng Mèo
Hound Figure,Tượng Chó Săn
Hound Figure Sketch,Bản Thảo Tượng Chó Săn
Varg Figure,Tượng Chó Sói
Clay Varg Figure Sketch,Phác thảo Tượng Chó Sói
Crab King Figure,Tượng Cua Hoàng Đế
Crab King Figure Sketch,Bản thảo Tượng Cua Hoàng Đế
Nightmare Werepig Figure,Tượng Nightmare Waspig
Scrappy Werepig Figure,Tượng Lợn Sói Sắt Vụn
Scrappy Werepig Figure Sketch,Phác thảo tượng Lợn Sói Sắt Vụn
Nightmare Werepig Figure,Nightmare Waspig hình
Nightmare Werepig Figure Sketch,Bản phác thảo Hình tượng Lợn sói ác mộng
Deerclops Figure,Tượng Deerclops
Crystal Deerclops Figure,Tượng Deerclops Pha Lê
Crystal Deerclops Figure Sketch,Bản phác thảo tượng Deerclops pha lê
Dragonfly Figure,Tượng Dragonfly
Eye Of Terror Figure,Tượng Nhãn Cầu Khiếp Đảm
Kingly Figure,Quân Cờ Vua
Celestial Champion Figure,Tượng Chiến Binh Thiên Hà
Celestial Champion Figure Sketch,Bản thảo Tượng Chiến Binh Thiên Hà
Carved Hornucopia,Sừng Điêu Khắc
Kitcoon Figure,Tượng Mèo Con
Kitcoon Figure Sketch,Bản Phác Tượng Mèo Con
Klaus Figure,Tượng Klaus
Knight Figure,Quân Cờ Mã
Malbatross Figure,Tượng Malbatross
Malbatross Figure Sketch,Bản thảo Tượng Malbatross
Bunnyman Figure,Tượng Thỏ Người
Bunnyman Figure Sketch,Bản Phác Tượng Thỏ
Ancient Guardian Figure,Tượng Quản Thần Cổ Đại
"\""Moon\"" Figure","Tượng \""Trăng Vỡ\"""
"\""Moon\"" Figure Sketch","Bản Thảo Tượng \""Mặt Trăng\"""
Moose Figure,Tượng Trăng Vỡ
Goose Figure,Tượng Ngỗng
Moose/Goose Figure,Tượng Moose/Goose
Queenly Figure,Quân Cờ Hậu
Pawn Figure,Quân Cờ Tốt
Bubble Pipe Carving,Tẩu Bong Bóng
Rook Figure,Quân Cờ Xe
Frostjaw Figure,Tượng Cá Mập Hàm Băng
Frostjaw Figure Sketch,Bản phác thảo tượng Cá Mập Hàm Băng
Ancient Fuelweaver Figure,Tượng Thượng Cổ Hắc Ám
Toadstool Figure,Tượng Cóc Nấm
Twins of Terror Figure,Tượng Song Trùng Khiếp Đảm
Celestial Scion Figure,Tượng Hậu Duệ Thiên Hà
Celestial Scion Figure,Hậu Duệ Thiên Hà
Celestial Scion Figure Sketch,Bản Phác Hậu Duệ Thiên Hà
W.A.R.B.O.T. Figure,Tượng W.A.R.B.O.T.
W.A.R.B.O.T. Figure Sketch,Bản Phác Tượng W.A.R.B.O.T.
Possessed Varg Figure,Tượng Chó Sói Bị Ám
Possessed Varg Figure Sketch,Bản phác thảo tượng Chó Sói Bị Ám
Great Depths Worm Figure,Tượng Sâu Đất Khổng Lồ
Start Tower Figure,Hình tháp xuất phát
Start Tower Figure Sketch,Phác thảo Hình tháp bắt đầu
Gilded Knight Figure,Tượng Đồng Hồ Mã Mạ Vàng
Gilded Knight's Figure,Tượng Đồng Hồ Mã Mạ Vàng
Gilded Knight Figure Sketch,Phác thảo Đồng Hồ Mã Mạ Vàng
Gilded Depths Worm Figure,Tượng Sâu Đất Mạ Vàng
Gilded Depths Worm Figure Sketch,Bản phác Tượng Sâu Đất Mạ Vàng
Chester,Chester
Eye Bone,Xương Mắt
Elastispacer,Bộ Mở Rộng Không Gian
Ornate Chest,Rương lớn
Ornery Chest,Rương lớn đáng ngờ
Fish Food,Mồi Dụ Cá
Fish Food Blueprint,Bản thiết kế Thức ăn cá
Clay Hound,Clay Hound
Clay Varg,Chó Săn Đất Sét
Freezing,Rét
Endothermic Fire,Lửa Thu Nhiệt
Endothermic Fire Pit,Lò Thu Nhiệt
Broken-down Chest,Rương hỏng
Compass,La bàn
Compost,Phân Trộn
Composting Bin,Máy Trộn Phân
Compost Wrap,Gói Phân Trộn
Cookbook,Sách Nấu Ăn
Cooked Mandrake,Nhân Sâm chín
Cooked Meat,Tảng thịt chín
Cooked Monster Meat,Thịt quái vật chín
Cooked Morsel,Miếng thịt chín
Cookie Cutter,Cá Xì Gà
Cookie Cutter Cap,Mũ Cá Xì Gà
Cookie Cutter Shell,Vỏ Cá Xì Gà
{item} Recipe Card,Thẻ công thức {item}
Recipe Card,Thẻ công thức
Crock Pot,Nồi Hầm
Nucleation Fluid,Chất Lỏng Kết Tinh
Cat Tail,Đuôi mèo
Corn,Ngô
Popcorn,Bỏng ngô
Giant Corn,Bắp Khổng Lồ
Giant Rotting Corn,Bắp Khổng Lồ Thối Rữa
Clustered Seeds,Hạt Bắp
Blacksmith Costume,Y Phục Thợ Rèn
Doll Costume,Y Phục Búp Bê
Fool Costume,Y Phục Thằng Hề
King Costume,Y Phục Nhà Vua
Mirror Costume,Y Phục Tấm Gương
Princess Costume,Trang phục công chúa
Queen Costume,Y Phục Nữ Hoàng
Tree Costume,Y Phục Cái Cây
Humble Lamb Idol,Tượng Cừu
Improved Lamb Idol,Tượng Cừu
Immaculate Lamb Idol,Tượng Cừu
Red Crown,Vương Miện Đỏ
Cozy Bunnyman,Thỏ Người Ấm Áp
Crab King,Cua Hoàng Đế
Cannon Tower,Tháp Pháo
Imposing Claw,Càng Cua Oai Vệ
Ice Barrier,Rào cản Băng
Crab Guard,Vệ binh Cua
Crab Knight,Hiệp sĩ Cua
Crawling Horror,Ghê Rợn
Crawling Nightmare,Ghê Sợ
Rock Den,Hang đá
Broodling,Broodling
Friendly Peeper,Cầu Mắt Thân Thiện
Glomglom,Glomglom
Kittykit,Kittykit
Ewelet,Ewelet
Mothling,Mothling
Giblet,Giblet
Vargling,Vargling
Crop,Vụ mùa
Crow,Quạ
Cookie Crumbles,Vụn Bánh Quy
Accursed Trinket,Lắc Nguyền Rủa
Cut Grass,Cỏ khô
Cutless,Gươm Hải Tặc
Lichen,Rêu
Cut Reeds,Sậy cắt
Cut Stone,Đá xẻ
Bunch o' Stone,Bó Đá
Darkness,Bóng đêm
Nightmare Werepig,Lợn Sói Bóng Đêm
Scrappy Werepig,Lợn Sói Sắt Vụn
Cracked Pillar,Cột Trụ Nứt
Deadly Feast,Bữa tối cuối cùng
Sea Bones,Hài Cốt Biển
Birchnut Tree,Cây phong
Deck Of Cards,Bộ Bài
Art?,Đồ Mỹ Nghệ?
Table Vase,Bình Hoa
Table Lamp,Đèn Bàn
Empty Frame,Khung Trống
Framed Drawing,Vẽ đóng khung
{item} Drawing,Bản vẽ {item}
Pleasant Portrait,Chân Dung Vui Vẻ
Health,Máu
Years,Năm
Sanity,Tinh thần
No-Eyed Deer,Hươu Không Mắt
Deerclops,Deerclops
Ice Crystaleyezer,Máy Tinh Thể Băng
Ice Crystaleyezer Kit,Bộ Máy Tinh Thể Băng
Deerclops Eyeball,Mắt Deerclops
Deer Antler,Nhung Hươu
INVENTORY ITEM,Đồ Vật Hòm Đồ
Grass,Cỏ
Desert Goggles,Kính Chắn Bụi
Desiccant Pouch,Túi hút ẩm
Desiccant Sack,Bao hút ẩm
Dev Tool,Dev Tool
Suspicious Dirt Pile,Đống đất khả nghi
Divining Rod,Que bói
Divining Rod Holder,Phần giữ que bói
Dock Kit,Bộ Lắp Bến Nổi
Dock Piling,Cọc Bến Cảng
Dolled-Up Costume Pattern,Bản Vẽ Bộ Búp Bê
Dragonfly Boat,Thuyển Ruồi Rồng
Dragonfly Boat Kit,Bộ thuyền Ruồi Rồng
Decked-Out Dragonfly Boat Kit,Bộ đóng thuyền Ruồi Rồng
Lucky Beast Body,Thân Kỳ Lân
Hot Dragon Chili Salad,Sa-lát Thanh Long Nóng
Dragonfly,Dragonfly
Scaled Chest,Hòm đóng vẩy
Scaled Furnace,Lò Nhiệt
Dragon Fruit,Thanh long
Prepared Dragon Fruit,Thanh long chín
Giant Dragon Fruit,Thanh Long Khổng Lồ
Giant Rotting Dragon Fruit,Thanh Long Khổng Lồ Thối Rữa
Bulbous Seeds,Hạt Thanh Long
Lucky Beast Head,Đầu Kỳ Lân
Dragonpie,Bánh Thanh Long
Lucky Beast Tail,Đuôi Kỳ Lân
Scales,Vẩy
Dreadstone,Đá Kinh Hoàng
Dreadstone Helm,Mũ Kinh Hoàng
Dreadstone Outcrop,Mỏ Thạch Kinh Hoàng
Driftwood Piece,Mảnh Gỗ Mục
Driftwood,Cây Gỗ Mục
Drowning,Chết đuối
Drumstick,Đùi gà
Fried Drumstick,Đùi gà rán
Grass Tuft,Bụi Cỏ
Headstone,Bia mộ
Monkeytails,Sậy Đuôi Khỉ
Stone Fruit Bush,Bụi Trái Cây Đá
Sapling,Cây nhỏ
Anenemy Trap,Bẫy Hải Quỳ
Dumbbell,Tạ Tay
Icebell,Tạ Băng
Gembell,Tạ Tím
Golden Dumbbell,Tạ Vàng
Thermbell,Tạ Nhiệt
Marbell,Tạ Cẩm Thạch
Firebell,Tạ Lửa
Durian,Sầu riêng
Extra Smelly Durian,Sầu riêng siêu thối
Giant Durian,Sầu Riêng Khổng Lồ
Giant Rotting Durian,Sầu Riêng Khổng Lồ Thối Rữa
Brittle Seed Pods,Hạt Sầu Riêng
Amberosia,Cao Lương
Dust Moth,Bướm Phủi Bụi
Tidy Hidey-Hole,Kén Ngăn Nắp
Rabbit Earmuffs,Chụp Tai Lông Thỏ
Eel,Lươn
Cooked Eel,Lươn chín
Eggplant,Cà tím
Braised Eggplant,Cà tím om
Giant Eggplant,Cà Tím Khổng Lồ
Giant Rotting Eggplant,Cà Tím Khổng Lồ Thối Rữa
Swirly Seeds,Hạt Cà Tím
Picnic Casket,Giỏ Dã Ngoại
Fire Ball,Hỏa Cầu
End Table,Bàn hoa
Evergreen,Thông Thẳng
Lumpy Evergreen,Thông Chùm
Eyebrella,Ô Mắt
Eye Mask,Mặt Nạ Nhãn Cầu
Eye Of Terror,Con Mắt Hung Tàn
Suspicious Peeper,Cầu Mắt Khả Nghi
Egg Of Terror,Trứng khủng bố
Eye Plant,Cây mắt
Houndius Shootius,Pháo Mắt
Garden Hoe,Cuốc Làm Vườn
Asparagus Fern,Bụi Măng Tây
Carrot Plant,Cây Cà Rốt
Corn Stalk,Cây Ngô
Dragon Fruit Vine,Dây Thanh Long
